x,y,z
-9.8001,-14.9903,21.1868
-10.3178,-15.4685,22.2851
-10.8274,-15.853,23.4845
-11.3196,-16.1219,24.774
-11.7842,-16.254,26.137
-12.2097,-16.2301,27.5509
-12.5842,-16.0348,28.988
-12.8959,-15.6586,30.4156
-13.1331,-15.0992,31.7977
-13.286,-14.3626,33.0973
-13.3461,-13.4639,34.2788
-13.3082,-12.4265,35.3104
-13.1696,-11.2808,36.1667
-12.9313,-10.0622,36.8308
-12.5977,-8.80833,37.2948
-12.1764,-7.55615,37.5603
-11.6775,-6.33955,37.6371
-11.1132,-5.18718,37.5419
-10.4969,-4.12127,37.296
-9.8427,-3.15712,36.9234
-9.16429,-2.30332,36.4487
-8.47466,-1.56252,35.8952
-7.78554,-0.932443,35.2843
-7.10717,-0.407132,34.6346
-6.4481,0.0219195,33.9614
-5.81517,0.364723,33.277
-5.21359,0.631946,32.5906
-4.64706,0.834265,31.9094
-4.1179,0.981898,31.238
-3.62732,1.08431,30.5798
-3.17551,1.15005,29.9366
-2.7619,1.18666,29.3095
-2.38531,1.20067,28.6987
-2.04409,1.19769,28.1042
-1.73625,1.18241,27.5254
-1.4596,1.15874,26.9619
-1.2118,1.12989,26.4129
-0.990465,1.09845,25.8778
-0.793228,1.06649,25.3558
-0.617759,1.03565,24.8464
-0.461817,1.00718,24.349
-0.323269,0.982059,23.863
-0.200104,0.960999,23.388
-0.0904454,0.94453,22.9235
0.00744837,0.933031,22.4692
0.0951835,0.926766,22.0247
0.174234,0.925921,21.5899
0.24595,0.930621,21.1643
0.31156,0.940961,20.7478
0.372186,0.957017,20.3402
0.42885,0.978865,19.9413
0.482485,1.00659,19.5509
0.533943,1.0403,19.1689
0.584008,1.08014,18.7952
0.633402,1.12628,18.4297
0.6828,1.17894,18.0723
0.732834,1.23837,17.7229
0.784103,1.30491,17.3815
0.837184,1.37893,17.0481
0.892637,1.46087,16.7227
0.951013,1.55122,16.4053
1.01286,1.65058,16.096
1.07874,1.75959,15.7949
1.14922,1.87897,15.5022
1.22489,2.00955,15.2181
1.30636,2.15223,14.9428
1.39429,2.308,14.6767
1.48934,2.47798,14.4203
1.59226,2.66336,14.1739
1.70383,2.86546,13.9384
1.82488,3.08572,13.7143
1.95631,3.32568,13.5027
2.09909,3.58701,13.3047
2.25425,3.87149,13.1216
2.42292,4.18102,12.955
2.60628,4.51761,12.8067
2.80562,4.88334,12.679
3.02229,5.28036,12.5745
3.25773,5.71086,12.4963
3.51343,6.17699,12.4481
3.79097,6.6808,12.434
4.09194,7.22416,12.459
4.41795,7.80862,12.5289
4.77059,8.43526,12.6502
5.15136,9.10446,12.8303
5.56163,9.81569,13.0779
6.0025,10.5671,13.4024
6.47473,11.3553,13.814
6.97861,12.1748,14.3241
7.51371,13.0174,14.9443
8.07876,13.8721,15.6864
8.67137,14.724,16.5618
9.28777,15.5543,17.5805
9.92257,16.3399,18.7499
10.5685,17.0534,20.0736
11.216,17.6632,21.5498
11.8536,18.1353,23.1694
12.4674,18.4339,24.9149
13.0413,18.5249,26.7583
13.5581,18.3784,28.6619
13.9992,17.9722,30.578
14.3467,17.2958,32.4514
14.5838,16.3529,34.2227
14.6964,15.163,35.8332
14.6745,13.7614,37.23
14.513,12.197,38.3711
14.2125,10.5276,39.2291
13.7791,8.8153,39.7938
13.2244,7.12041,40.0715
12.5642,5.49645,40.0833
11.8175,3.98652,39.8615
11.005,2.62137,39.4447
10.1477,1.41913,38.8744
9.2658,0.386483,38.1906
8.37765,-0.479332,37.4297
7.49932,-1.18808,36.6225
6.64415,-1.75417,35.7939
5.82272,-2.19457,34.963
5.0429,-2.52712,34.1436
4.31015,-2.76936,33.3448
3.62778,-2.93771,32.5724
2.99729,-3.04702,31.8294
2.41871,-3.11038,31.1167
1.89093,-3.13904,30.434
1.41193,-3.14255,29.7801
0.979066,-3.12886,29.1534
0.58926,-3.10453,28.5521
0.239161,-3.07487,27.9741
-0.0747192,-3.04418,27.4178
-0.3559,-3.01586,26.8815
-0.607855,-2.99261,26.3636
-0.833952,-2.97652,25.8629
-1.03741,-2.9692,25.3784
-1.22129,-2.97189,24.9091
-1.38845,-2.98553,24.4544
-1.54157,-3.01084,24.0137
-1.6831,-3.04838,23.5866
-1.81535,-3.09857,23.1728
-1.94042,-3.16178,22.7721
-2.06024,-3.23832,22.3846
-2.1766,-3.3285,22.0102
-2.29115,-3.43261,21.6491
-2.40538,-3.55097,21.3016
-2.52071,-3.68395,20.968
-2.63845,-3.83194,20.6488
-2.75981,-3.99538,20.3445
-2.88594,-4.17476,20.0558
-3.01792,-4.3706,19.7835
-3.15681,-4.58348,19.5286
-3.30358,-4.81399,19.2922
-3.4592,-5.06275,19.0754
-3.62459,-5.33037,18.8799
-3.80065,-5.61747,18.7072
-3.98824,-5.92457,18.5593
-4.18819,-6.25215,18.4382
-4.40129,-6.60055,18.3463
-4.62828,-6.96993,18.2863
-4.86983,-7.36024,18.2611
-5.12654,-7.77108,18.2738
-5.39888,-8.20172,18.3281
-5.68719,-8.6509,18.4276
-5.99164,-9.11678,18.5763
-6.31216,-9.59685,18.7784
-6.64841,-10.0877,19.0381
-6.99974,-10.5851,19.3596
-7.36506,-11.0837,19.7469
-7.74286,-11.5768,20.2035
-8.13106,-12.0567,20.7323
-8.52698,-12.5143,21.3353
-8.92729,-12.9393,22.013
-9.32792,-13.3205,22.7643
-9.72408,-13.6455,23.586
-10.1102,-13.9018,24.4724
-10.4802,-14.0767,25.4148
-10.8272,-14.1583,26.402
-11.144,-14.1364,27.4193
-11.4232,-14.0028,28.4497
-11.6575,-13.7526,29.4737
-11.84,-13.3845,30.47
-11.9645,-12.9018,31.4171
-12.026,-12.3121,32.2937
-12.0208,-11.6275,33.0806
-11.947,-10.864,33.761
-11.8045,-10.0404,34.3224
-11.5951,-9.17764,34.7566
-11.3225,-8.29712,35.0601
-10.9921,-7.41965,35.2342
-10.6105,-6.56431,35.2844
-10.1856,-5.74753,35.2193
-9.72577,-4.98254,35.0505
-9.23984,-4.27911,34.791
-8.73647,-3.64357,34.4542
-8.22394,-3.07906,34.0539
-7.70993,-2.58598,33.6026
-7.20129,-2.16249,33.1122
-6.70399,-1.80503,32.5928
-6.223,-1.50886,32.0531
-5.76234,-1.26849,31.5006
-5.32511,-1.07808,30.9411
-4.91355,-0.931754,30.3792
-4.52913,-0.823792,29.8185
-4.17265,-0.748833,29.2618
-3.84436,-0.701954,28.7111
-3.54403,-0.678735,28.1677
-3.27105,-0.67528,27.6327
-3.02454,-0.688216,27.1068
-2.80339,-0.71467,26.5902
-2.60636,-0.752239,26.0833
-2.43211,-0.798948,25.5861
-2.27926,-0.853208,25.0987
-2.14644,-0.913779,24.621
-2.03229,-0.979721,24.1531
