i,x,y,z
356,-6.77142,-3.57632,30.7619
357,-6.45717,-3.37138,30.3801
358,-6.155,-3.20082,29.9835
359,-5.86694,-3.06243,29.576
360,-5.59457,-2.95385,29.1608
361,-5.33914,-2.87266,28.7409
362,-5.10152,-2.8165,28.3187
363,-4.88228,-2.78308,27.8962
364,-4.68174,-2.7703,27.4751
365,-4.49999,-2.77621,27.057
366,-4.33693,-2.7991,26.6431
367,-4.19232,-2.83746,26.2344
368,-4.06583,-2.89,25.8319
369,-3.95701,-2.95564,25.4364
370,-3.86539,-3.03351,25.0486
371,-3.79046,-3.12294,24.6692
372,-3.73171,-3.22342,24.2988
373,-3.68864,-3.33462,23.938
374,-3.66075,-3.45636,23.5875
375,-3.64762,-3.58856,23.2478
376,-3.64882,-3.73131,22.9196
377,-3.664,-3.88476,22.6035
378,-3.69288,-4.04917,22.3004
379,-3.73519,-4.22486,22.0108
380,-3.79076,-4.41222,21.7358
381,-3.85945,-4.61168,21.4762
382,-3.94119,-4.8237,21.2331
383,-4.03595,-5.04876,21.0075
384,-4.14376,-5.28731,20.8008
385,-4.26469,-5.53979,20.6142
386,-4.39882,-5.8066,20.4492
387,-4.54629,-6.08804,20.3076
388,-4.70722,-6.38432,20.1911
389,-4.88175,-6.69551,20.1017
390,-5.07001,-7.02149,20.0415
391,-5.27207,-7.36191,20.0128
392,-5.48797,-7.71617,20.0181
393,-5.71768,-8.0833,20.0599
394,-5.96103,-8.46196,20.141
395,-6.21774,-8.85034,20.264
396,-6.48736,-9.24608,20.4319
397,-6.76923,-9.64627,20.6473
398,-7.06242,-10.0473,20.9128
399,-7.36575,-10.4448,21.2306
400,-7.67766,-10.8338,21.6028
401,-7.99627,-11.2084,22.0304
402,-8.31924,-11.562,22.5141
403,-8.64383,-11.8874,23.0532
404,-8.96681,-12.1768,23.6462
405,-9.28452,-12.4219,24.2898
406,-9.59285,-12.6145,24.9794
407,-9.88729,-12.7465,25.7084
408,-10.163,-12.8104,26.4685
409,-10.4151,-12.7996,27.2498
410,-10.6383,-12.7093,28.0406
411,-10.8276,-12.5361,28.8278
412,-10.9785,-12.2794,29.5974
413,-11.0865,-11.9408,30.3353
414,-11.1483,-11.5247,31.0271
415,-11.1611,-11.0382,31.6596
416,-11.1233,-10.4906,32.221
417,-11.0346,-9.89341,32.7017
418,-10.8956,-9.25957,33.0944
419,-10.7082,-8.60273,33.3947
420,-10.4757,-7.93672,33.6009
421,-10.2019,-7.2748,33.7143
422,-9.89199,-6.6291,33.7382
423,-9.55129,-6.01019,33.6784
424,-9.18578,-5.42675,33.5418
425,-8.80152,-4.88543,33.3365
426,-8.40455,-4.39087,33.0712
427,-8.00067,-3.9458,32.7546
428,-7.59531,-3.55124,32.3952
429,-7.19341,-3.20677,32.0008
430,-6.79934,-2.91083,31.5788
431,-6.41686,-2.66096,31.1355
432,-6.0491,-2.45412,30.6766
433,-5.6986,-2.28688,30.2068
434,-5.36732,-2.15566,29.7301
435,-5.05666,-2.05685,29.25
436,-4.7676,-1.98697,28.769
437,-4.50066,-1.94274,28.2893
438,-4.25602,-1.92112,27.8128
439,-4.0336,-1.91939,27.3408
440,-3.83304,-1.93516,26.8743
441,-3.65382,-1.96634,26.4144
442,-3.49531,-2.01117,25.9617
443,-3.35674,-2.06817,25.5167
444,-3.23732,-2.13617,25.08
445,-3.13623,-2.21424,24.6519
446,-3.05265,-2.3017,24.2329
447,-2.98578,-2.39808,23.8233
448,-2.93487,-2.5031,23.4233
449,-2.8992,-2.61665,23.0334
