i,x,y,z
303,-7.04343,-6.25924,26.3666
304,-6.97161,-6.3199,26.1075
305,-6.91317,-6.39646,25.856
306,-6.86832,-6.48817,25.6135
307,-6.83717,-6.59428,25.3817
308,-6.81974,-6.71408,25.162
309,-6.81601,-6.84685,24.9559
310,-6.82587,-6.99188,24.7648
311,-6.84915,-7.14842,24.5901
312,-6.88564,-7.31575,24.433
313,-6.93507,-7.49306,24.2949
314,-6.99712,-7.6795,24.177
315,-7.07141,-7.87414,24.0805
316,-7.15751,-8.07598,24.0067
317,-7.25493,-8.28386,23.9566
318,-7.3631,-8.49654,23.9313
319,-7.48139,-8.71259,23.9318
320,-7.60909,-8.93045,23.9589
321,-7.74538,-9.14836,24.0133
322,-7.88936,-9.36438,24.0955
323,-8.04003,-9.57642,24.2058
324,-8.19625,-9.78217,24.3444
325,-8.35678,-9.97918,24.5109
326,-8.52025,-10.1649,24.7047
327,-8.68518,-10.3365,24.925
328,-8.84996,-10.4913,25.1704
329,-9.01287,-10.6266,25.4389
330,-9.17209,-10.7396,25.7283
331,-9.32572,-10.8277,26.0358
332,-9.47183,-10.8886,26.3581
333,-9.60843,-10.9204,26.6914
334,-9.73357,-10.9213,27.0316
335,-9.84534,-10.8902,27.3742
336,-9.94196,-10.8266,27.7144
337,-10.0217,-10.7306,28.0472
338,-10.0833,-10.6029,28.3677
339,-10.1253,-10.445,28.6709
340,-10.1469,-10.2589,28.9522
341,-10.1476,-10.0476,29.2073
342,-10.1269,-9.81415,29.4325
343,-10.0851,-9.56248,29.6244
344,-10.0226,-9.29668,29.7806
345,-9.94026,-9.02111,29.8992
346,-9.83923,-8.74018,29.9791
347,-9.72099,-8.45827,30.0202
348,-9.58731,-8.1796,30.0228
349,-9.44014,-7.90807,29.9879
350,-9.28163,-7.64724,29.9171
351,-9.11403,-7.40021,29.8126
352,-8.93964,-7.16963,29.6769
353,-8.76079,-6.95763,29.5127
354,-8.57976,-6.7659,29.323
355,-8.39874,-6.59562,29.1108
356,-8.21981,-6.44759,28.8793
357,-8.04491,-6.32219,28.6316
358,-7.87583,-6.2195,28.3705
359,-7.71415,-6.13933,28.0991
360,-7.5613,-6.08125,27.82
361,-7.41852,-6.0447,27.5358
362,-7.28686,-6.02898,27.2491
363,-7.16721,-6.03329,26.9619
364,-7.0603,-6.05683,26.6766
365,-6.96669,-6.09874,26.3951
366,-6.88683,-6.15819,26.1193
367,-6.82105,-6.23436,25.8509
368,-6.76955,-6.32643,25.5916
369,-6.73245,-6.43365,25.343
370,-6.70979,-6.55527,25.1067
371,-6.70152,-6.69057,24.8842
372,-6.70755,-6.83884,24.6768
373,-6.72772,-6.99937,24.486
374,-6.7618,-7.17143,24.3131
375,-6.80955,-7.35428,24.1596
376,-6.87064,-7.5471,24.0266
377,-6.94471,-7.74902,23.9156
378,-7.03135,-7.95907,23.8279
379,-7.13009,-8.17617,23.7645
380,-7.24038,-8.39911,23.7267
381,-7.36162,-8.62651,23.7157
382,-7.49311,-8.85683,23.7323
383,-7.63408,-9.08833,23.7775
384,-7.78365,-9.31907,23.852
385,-7.94082,-9.54693,23.9563
386,-8.10448,-9.76953,24.0906
387,-8.27339,-9.98433,24.2549
388,-8.44619,-10.1886,24.4489
389,-8.62135,-10.3794,24.6717
390,-8.79723,-10.5539,24.9223
391,-8.97206,-10.7089,25.1988
392,-9.14394,-10.8413,25.4991
393,-9.31086,-10.9484,25.8205
394,-9.47075,-11.0274,26.1596
395,-9.62147,-11.0757,26.5127
396,-9.76089,-11.0915,26.8754
397,-9.88689,-11.073,27.2429
398,-9.99746,-11.0195,27.6102
399,-10.0907,-10.9306,27.9719
400,-10.1649,-10.8068,28.3225
401,-10.2186,-10.6494,28.6566
402,-10.2507,-10.4604,28.9689
403,-10.2604,-10.2426,29.2546
404,-10.2471,-9.99939,29.5092
405,-10.2109,-9.73476,29.7289
406,-10.1521,-9.45317,29.9107
407,-10.0714,-9.15935,30.0524
408,-9.9701,-8.8582,30.1526
409,-9.8496,-8.55456,30.2106
410,-9.71174,-8.25316,30.2267
411,-9.55861,-7.9584,30.202
412,-9.39249,-7.6743,30.138
413,-9.2158,-7.40438,30.0371
414,-9.03105,-7.15165,29.9018
415,-8.84076,-6.91857,29.7351
416,-8.64743,-6.70704,29.5403
417,-8.45347,-6.51841,29.3207
418,-8.26116,-6.35359,29.0797
419,-8.07264,-6.21303,28.8207
420,-7.88986,-6.09681,28.5468
421,-7.71458,-6.00469,28.2612
422,-7.54837,-5.93621,27.967
423,-7.39257,-5.89071,27.6667
424,-7.24835,-5.86739,27.3632
425,-7.11667,-5.86538,27.0587
426,-6.99833,-5.88375,26.7556
427,-6.89394,-5.92156,26.456
428,-6.80399,-5.9779,26.1617
429,-6.72882,-6.05186,25.8747
430,-6.66866,-6.14259,25.5967
431,-6.62363,-6.24928,25.3294
432,-6.59378,-6.37114,25.0742
433,-6.57908,-6.50746,24.8328
434,-6.57942,-6.65751,24.6065
435,-6.59464,-6.82062,24.397
436,-6.62453,-6.99608,24.2054
437,-6.66885,-7.1832,24.0334
438,-6.7273,-7.38121,23.8822
439,-6.79952,-7.58932,23.7532
440,-6.88512,-7.80663,23.6479
441,-6.98366,-8.03213,23.5674
442,-7.09463,-8.26469,23.5132
443,-7.21747,-8.50302,23.4865
444,-7.35151,-8.74563,23.4884
445,-7.49603,-8.99085,23.52
446,-7.65018,-9.23679,23.5822
447,-7.81301,-9.4813,23.6758
448,-7.98346,-9.72204,23.8012
449,-8.1603,-9.95638,23.9587
450,-8.3422,-10.1815,24.1482
451,-8.52764,-10.3944,24.3693
452,-8.71496,-10.5917,24.6209
453,-8.90236,-10.7704,24.9017
454,-9.08789,-10.9269,25.2097
455,-9.26944,-11.0579,25.5423
456,-9.44483,-11.1603,25.8963
457,-9.61177,-11.2311,26.2679
458,-9.76793,-11.2679,26.6528
459,-9.91098,-11.2684,27.046
460,-10.0387,-11.2312,27.4421
461,-10.1488,-11.1556,27.8354
462,-10.2394,-11.0417,28.2199
463,-10.3087,-10.8902,28.5895
464,-10.3553,-10.7031,28.9384
465,-10.378,-10.4828,29.261
466,-10.3761,-10.2329,29.552
467,-10.3493,-9.95757,29.8071
468,-10.2979,-9.66141,30.0223
469,-10.2223,-9.3496,30.1949
470,-10.1237,-9.02749,30.3229
471,-10.0036,-8.70052,30.4053
472,-9.86379,-8.37397,30.4422
473,-9.70642,-8.05287,30.4342
474,-9.53392,-7.74183,30.3829
475,-9.34889,-7.44493,30.2908
476,-9.15405,-7.16567,30.1605
477,-8.95214,-6.90693,29.9953
478,-8.74591,-6.67094,29.7986
479,-8.53802,-6.45935,29.5741
480,-8.331,-6.27323,29.3255
481,-8.12722,-6.11314,29.0565
482,-7.92887,-5.97921,28.7707
483,-7.73791,-5.87122,28.4714
484,-7.55608,-5.78863,28.1619
485,-7.38489,-5.73071,27.8452
486,-7.22564,-5.69657,27.5241
487,-7.0794,-5.68521,27.2013
488,-6.94706,-5.6956,26.8791
489,-6.82931,-5.72669,26.5598
490,-6.72669,-5.77744,26.2454
491,-6.63957,-5.84687,25.9379
492,-6.56821,-5.93403,25.6391
493,-6.51276,-6.03805,25.3506
494,-6.47327,-6.15811,25.074
495,-6.44971,-6.29345,24.8111
496,-6.44198,-6.44337,24.5631
497,-6.44993,-6.60717,24.3317
498,-6.47335,-6.78421,24.1182
499,-6.51201,-6.97383,23.9242
500,-6.56562,-7.17534,23.751
501,-6.63384,-7.38801,23.6002
502,-6.71632,-7.61106,23.473
503,-6.81264,-7.84357,23.3711
504,-6.92234,-8.08452,23.2958
505,-7.04489,-8.33274,23.2484
506,-7.1797,-8.58687,23.2303
507,-7.32609,-8.84534,23.2429
508,-7.48327,-9.10635,23.2871
509,-7.65038,-9.36784,23.3641
510,-7.82641,-9.6275,23.4746
511,-8.0102,-9.88273,23.6192
512,-8.20046,-10.1307,23.7982
513,-8.39572,-10.3682,24.0114
514,-8.59437,-10.5919,24.2583
515,-8.7946,-10.7983,24.5378
516,-8.99442,-10.9837,24.8483
517,-9.1917,-11.1443,25.1875
518,-9.38416,-11.2766,25.5526
519,-9.56937,-11.377,25.9398
520,-9.74484,-11.4423,26.345
521,-9.90802,-11.4699,26.7631
522,-10.0564,-11.4574,27.1886
523,-10.1874,-11.4036,27.6153
524,-10.2989,-11.3077,28.037
525,-10.3885,-11.1701,28.4469
526,-10.4546,-10.992,28.8385
527,-10.4956,-10.7759,29.2051
528,-10.5104,-10.5248,29.5409
529,-10.4983,-10.243,29.8403
530,-10.4593,-9.93526,30.0987
531,-10.3937,-9.60714,30.3123
532,-10.3024,-9.26445,30.4784
533,-10.1867,-8.91321,30.5953
534,-10.0484,-8.55941,30.6625
535,-9.88966,-8.20881,30.6804
536,-9.71307,-7.86676,30.6505
