t,distance
6.83,2.4391e-006
6.84,2.3388e-006
6.85,2.23922e-006
6.86,2.14156e-006
6.87,2.04695e-006
6.88,1.95644e-006
6.89,1.87096e-006
6.9,1.79129e-006
6.91,1.7181e-006
6.92,1.65193e-006
6.93,1.59321e-006
6.94,1.54225e-006
6.95,1.49928e-006
6.96,1.46445e-006
6.97,1.43783e-006
6.98,1.41943e-006
6.99,1.40918e-006
7,1.407e-006
7.01,1.41275e-006
7.02,1.42628e-006
7.03,1.44743e-006
7.04,1.47603e-006
7.05,1.51195e-006
7.06,1.55506e-006
7.07,1.60527e-006
7.08,1.6625e-006
7.09,1.72674e-006
7.1,1.79798e-006
7.11,1.87626e-006
7.12,1.96164e-006
7.13,2.05422e-006
7.14,2.15408e-006
7.15,2.26135e-006
7.16,2.37611e-006
7.17,2.49847e-006
7.18,2.62848e-006
7.19,2.76615e-006
7.2,2.91145e-006
7.21,3.06425e-006
7.22,3.2243e-006
7.23,3.39124e-006
7.24,3.56453e-006
7.25,3.74346e-006
7.26,3.92706e-006
7.27,4.11411e-006
7.28,4.30311e-006
7.29,4.49222e-006
7.3,4.67927e-006
7.31,4.86173e-006
7.32,5.03676e-006
7.33,5.20121e-006
7.34,5.35173e-006
7.35,5.48484e-006
7.36,5.59717e-006
7.37,5.6856e-006
7.38,5.74755e-006
7.39,5.78128e-006
7.4,5.78614e-006
7.41,5.76287e-006
7.42,5.71376e-006
7.43,5.64264e-006
7.44,5.55473e-006
7.45,5.45621e-006
7.46,5.35353e-006
7.47,5.25264e-006
7.48,5.15813e-006
7.49,5.07259e-006
7.5,4.99636e-006
7.51,4.92766e-006
7.52,4.8632e-006
7.53,4.79892e-006
7.54,4.7308e-006
7.55,4.65553e-006
7.56,4.57089e-006
7.57,4.4759e-006
7.58,4.37077e-006
7.59,4.25673e-006
7.6,4.1357e-006
7.61,4.01008e-006
7.62,3.88247e-006
7.63,3.75544e-006
7.64,3.63138e-006
7.65,3.51236e-006
7.66,3.40009e-006
7.67,3.29589e-006
7.68,3.20068e-006
7.69,3.11503e-006
7.7,3.03919e-006
7.71,2.9732e-006
7.72,2.91693e-006
7.73,2.87014e-006
7.74,2.83258e-006
7.75,2.80398e-006
7.76,2.78419e-006
7.77,2.77311e-006
7.78,2.77077e-006
7.79,2.77732e-006
7.8,2.79305e-006
7.81,2.81835e-006
7.82,2.85376e-006
7.83,2.89989e-006
7.84,2.95745e-006
7.85,3.02724e-006
7.86,3.11013e-006
7.87,3.20702e-006
7.88,3.3189e-006
7.89,3.44677e-006
7.9,3.5917e-006
7.91,3.75481e-006
7.92,3.93726e-006
7.93,4.14028e-006
7.94,4.36514e-006
7.95,4.61322e-006
7.96,4.88595e-006
7.97,5.18486e-006
7.98,5.51154e-006
7.99,5.86767e-006
8,6.25501e-006
8.01,6.67536e-006
8.02,7.13055e-006
8.03,7.62242e-006
8.04,8.15278e-006
8.05,8.7233e-006
8.06,9.33552e-006
8.07,9.99066e-006
8.08,1.06896e-005
8.09,1.14326e-005
8.1,1.22194e-005
8.11,1.30486e-005
8.12,1.39178e-005
8.13,1.48232e-005
8.14,1.57592e-005
8.15,1.67184e-005
8.16,1.76909e-005
8.17,1.86647e-005
8.18,1.9625e-005
8.19,2.05546e-005
8.2,2.1434e-005
8.21,2.2242e-005
8.22,2.29569e-005
8.23,2.35576e-005
8.24,2.40252e-005
8.25,2.43453e-005
8.26,2.45101e-005
8.27,2.45196e-005
8.28,2.43833e-005
8.29,2.41195e-005
8.3,2.37538e-005
8.31,2.33159e-005
8.32,2.28355e-005
8.33,2.23373e-005
8.34,2.1838e-005
8.35,2.13443e-005
8.36,2.0854e-005
8.37,2.03585e-005
8.38,1.98465e-005
8.39,1.93076e-005
8.4,1.87348e-005
8.41,1.81259e-005
8.42,1.7483e-005
8.43,1.68127e-005
8.44,1.61241e-005
8.45,1.5428e-005
8.46,1.47356e-005
8.47,1.40578e-005
8.48,1.34042e-005
8.49,1.27827e-005
8.5,1.21995e-005
8.51,1.1659e-005
8.52,1.11636e-005
8.53,1.07141e-005
8.54,1.03099e-005
8.55,9.94917e-006
8.56,9.62929e-006
8.57,9.34705e-006
8.58,9.09897e-006
8.59,8.88151e-006
8.6,8.69124e-006
8.61,8.52504e-006
8.62,8.38015e-006
8.63,8.25425e-006
8.64,8.14544e-006
8.65,8.05229e-006
8.66,7.97379e-006
8.67,7.90932e-006
8.68,7.85862e-006
8.69,7.82178e-006
8.7,7.79916e-006
8.71,7.79139e-006
8.72,7.79935e-006
8.73,7.82412e-006
8.74,7.86701e-006
8.75,7.92947e-006
8.76,8.01315e-006
8.77,8.11984e-006
8.78,8.25149e-006
8.79,8.41019e-006
8.8,8.59815e-006
8.81,8.81771e-006
8.82,9.07133e-006
8.83,9.36162e-006
8.84,9.69128e-006
8.85,1.00632e-005
8.86,1.04802e-005
8.87,1.09456e-005
8.88,1.14625e-005
8.89,1.20345e-005
8.9,1.26649e-005
8.91,1.33576e-005
8.92,1.41163e-005
8.93,1.49451e-005
8.94,1.58478e-005
8.95,1.68285e-005
8.96,1.78911e-005
8.97,1.90392e-005
8.98,2.02761e-005
8.99,2.16045e-005
9,2.30262e-005
9.01,2.45419e-005
9.02,2.61506e-005
9.03,2.78492e-005
9.04,2.9632e-005
9.05,3.14898e-005
9.06,3.34096e-005
9.07,3.53734e-005
9.08,3.7358e-005
9.09,3.93341e-005
9.1,4.12664e-005
9.11,4.31135e-005
9.12,4.48292e-005
9.13,4.63642e-005
9.14,4.76686e-005
9.15,4.86966e-005
9.16,4.94108e-005
9.17,4.97876e-005
9.18,4.9822e-005
9.19,4.95305e-005
9.2,4.89506e-005
9.21,4.81376e-005
9.22,4.71553e-005
9.23,4.60661e-005
9.24,4.49199e-005
9.25,4.37468e-005
9.26,4.25555e-005
9.27,4.13373e-005
9.28,4.00745e-005
9.29,3.87489e-005
9.3,3.73495e-005
9.31,3.58755e-005
9.32,3.43372e-005
9.33,3.27541e-005
9.34,3.11514e-005
9.35,2.95575e-005
9.36,2.80002e-005
9.37,2.65053e-005
9.38,2.50945e-005
9.39,2.37851e-005
9.4,2.25889e-005
9.41,2.1513e-005
9.42,2.05596e-005
9.43,1.97268e-005
